hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Hampton Inn Times Square Central,10036,2443,8.8,9,8.8,8.5,9,8.2,8.5,9.5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0.9,2
Bentley Hotel,10065,1507,7.8,8.1,7.8,7.3,8.2,7.3,4.4,7.7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1.4,2
Madison LES Hotel,10002,6,8.6,8.3,8.8,8.3,9.2,7.9,8.8,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3.7,1
The Watson Hotel,10019,8697,7.8,7.8,7.7,7.4,7.8,7.5,7.7,8.5,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1650,0
DoubleTree by Hilton Metropolitan New York City,10022,4065,7.8,8,7.8,7.3,7.6,7.2,7.9,8.8,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
East Village Apartments,10003,92,9.5,9.8,9.4,9.7,9.9,8.7,9.5,9.3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3,2
Q&A Residential Hotel,10005,466,9.1,9.1,9.4,9.2,9,8.6,9.1,9.1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,4.3,2
DoubleTree by Hilton - Chelsea,10001,1544,7.9,7.9,7.7,7.3,8.4,7.4,8.1,8.6,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6,2
Holiday Inn Express - Times Square,10018,2404,7.8,7.9,7.5,7.3,8.2,7.2,8.4,8.6,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
Sheraton New York Times Square Hotel,10018,1873,7.6,7.8,7.5,7.3,7.5,6.6,5.1,8.9,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2150,0
The Gotham Hotel,10017,643,8.1,7.9,8.1,7.5,8.5,7.2,8,9.1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0.9,2
Hotel Edison Times Square,10036,13138,7.5,7.7,7.2,6.8,7.7,6.8,4.9,9.2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0.7,0
Hotel Belleclaire,10024,2891,7.8,8,7.5,7.2,8.4,7.2,7.5,8.7,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2
"Hampton Inn Manhattan-SoHo, NY",10013,2445,7.9,8,7.8,7.6,8.1,7.5,8.3,8.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,3.1,2
Dream Downtown,10011,1575,7.8,8.1,7.6,7.8,7.7,6.7,7.7,8.8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2.1,0
Wingate by Wyndham Manhattan Midtown,10001,1462,7.6,7.4,7.5,7.1,7.4,7.1,7,8.8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.2,0
Cassa Hotel Times Square,10018,3892,8.1,8.1,8.1,7.7,8.9,7.4,8.7,8.4,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1.1,2
Shoreham Hotel,10019,1529,7.5,7.7,7,6.7,8,6.8,3.8,9.1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,2600,0
Today House - Times Square North,10019,21,9.3,9.1,9.1,9.2,9.2,9.1,7.5,10,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2600,2
Tiffini,10027,126,8.8,9,8.7,8.5,9.4,8.6,9.5,8.6,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,3.1,2
Your Home in Harlem,10027,149,8.9,9.2,9.1,8.8,9.5,8.9,9.1,8.2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.1,2
Dylan Hotel NYC,10017,1487,7.9,7.9,7.8,7.4,8.1,7.5,8.6,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.1,2
Empire Hotel,10023,3407,7.5,7.6,7.2,6.9,7.8,6.8,5,8.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1300,0
Home NYC,10026,101,9.7,9.8,9.9,9.9,9.9,9.6,10,9.3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,3,2
Private Room in Time Square,10036,68,9,8.8,8.2,8.6,9.6,8.8,9.6,9.8,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.8,2
Millennium Broadway Times Square,10036,3536,7.8,7.6,7.7,7.3,7.9,7,7.9,9.2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.8,0
Midtown East Deluxe 2 Bedroom Apartment,10022,21,7.5,7.8,7.8,7,7.3,6.6,7.5,8.7,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1.2,0
The Gatsby Hotel,10002,95,7.7,8,7.2,7,8.5,7.1,7.7,8.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3.1,0
Hotel Central Fifth Avenue,10036,1850,7.6,7.7,7.1,6.8,7.7,7.1,8.6,9.2,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0.9,0
Cachet Boutique Hotel NYC,10036,1318,7.9,8.1,7.9,7.6,8.1,7.3,8,8.6,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,2
La Quinta Inn & Suites New York City Central Park,10023,3015,7.5,7.8,6.7,6.9,8.2,6.9,8.3,8.8,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.6,0
Beautiful Manhattan Apartment,10128,15,7.7,7.7,7.2,7.5,8.8,6.8,8.3,4,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,10018,1403,8.4,8.5,8,7.9,8.8,7.8,8.7,9.3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1.2,2
Holiday Inn Manhattan 6th Ave - Chelsea,10001,2190,7.6,7.8,7.3,7.1,8.1,7.1,7.9,8.4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.7,0
The Hotel @ New York City,10016,3852,7.5,7.7,7.6,7,7.3,7.3,6.9,8.3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1.7,0
"Perfect 3 BR, Midtown East, Doorman Apt",10022,14,7.2,7.7,6.8,6.8,7.2,7,7.5,8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1.1,0
"Hudson New York, Central Park",10019,9620,7.2,7.4,6.5,6.8,7.5,6.3,7.8,8.7,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1000,0
Washington Jefferson at Times Square,10019,1317,7.7,7.9,6.9,6.8,8.5,6.8,7.6,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2300,0
Heritage Hotel New York City,10010,3316,7.2,7.2,6.7,6.5,7.5,6.7,7.6,8.6,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1.8,0
Solita Soho Hotel,10013,669,7.7,7.8,7.3,7,8.3,7.4,8.6,8.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3.1,0
The Gallivant Times Square,10036,6556,7.2,7.2,6.9,6.6,7.1,6.6,7.7,9.1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,3100,0
Concorde Hotel New York,10022,77,9.2,9.5,9.2,8.6,9.5,8.8,8.3,9.4,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.8,2
Times Square Lux Highrise,10036,104,7,6.9,7.1,7.1,6.7,6.3,8.8,8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Days Inn by Wyndham Hotel New York City-Broadway,10025,5582,6.8,6.6,6.4,6.1,7.3,6.3,6.7,7.8,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1.8,0
Westgate New York City,10017,1438,7.5,7.7,7.5,7,7.6,6.9,5.7,8.3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1.4,0
Midtown East Spacious Apartment,10022,53,6.5,5.8,5.8,5.8,6.4,6.3,9,8.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1.1,0
Amsterdam Court Hotel,10019,1861,7.3,7,6.6,6.3,8,6.7,4.9,9.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2600,0
Hotel Stanford NYC,10001,2962,8,8,7.6,7.2,8.2,7.5,6.7,9.2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1.4,2
Night Hotel Times Square,10036,2946,7.5,7.7,6.7,6.9,8,6.8,8.2,9.2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0.7,0
Spacious Apartment in Prime Location,10024,22,7.6,7.3,7.6,7.5,7.6,7.6,10,8.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1.3,0
DoubleTree by Hilton New York Times Square South,10018,1533,7.4,7.5,7.1,6.9,8,6.7,7.9,8,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2,0
Hotel Marrakech,10025,3182,6.8,6.7,6.2,6,7.8,6.4,6.9,7.8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,2.3,0
The Ludlow Hotel,10002,1568,9.1,9.5,9.2,9.1,9.1,8.3,9.5,9.3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.1,2
The Quin,10019,1771,8.8,9,8.8,8.5,9.1,7.8,9.1,9.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1800,2
The Marlton Hotel,10011,1359,8.7,9.2,8.4,8.4,8.9,7.8,9.2,9.5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2.6,2
FiDi 3bed/2baths,10038,5,8.2,8.5,7.5,8.5,8.5,7,9,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3.7,1
Hotel Beacon,10023,3175,8.8,8.9,9,8.6,8.8,8.3,9,9.4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.9,2
Beautiful apartment next to Central Park,10024,34,7.2,6.5,7.4,7,7.2,6.6,9.2,8.6,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1.3,0
The Pearl Hotel,10019,1587,9,9.2,8.9,8.7,9.2,8,9,9.6,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2800,2
Soho Grand Hotel,10013,1949,8.5,8.7,8.5,8.3,8.7,7.7,8.4,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.1,2
Oakwood Aurora Midtown East,10016,6,8.6,8.8,9.6,9.2,7.9,7.5,8.8,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1.5,1
The Wagner Hotel,10004,122,9.3,9.6,9.5,9.1,9.5,8.6,7.9,9.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,4.3,2
Washington Square Hotel,10011,1578,8.6,8.8,8.3,8.1,9,7.9,8.9,9.6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2.6,2
Carnegie Hotel,10019,1226,8.9,9.4,8.8,8.5,9.1,8.1,9,9.6,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1500,2
Pod 39,10016,7718,8.2,8.7,7.5,7.8,8.3,7.6,8.7,9.1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1.3,2
Murray Hill East Suites,10016,39,8.7,7.9,8.6,8.1,9.4,8.4,7.7,9.6,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1.3,2
YOTEL New York Times Square,10036,2706,8.3,8.5,8.2,8.1,8.3,7.7,8.8,8.8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,2
The Manhattan Club,10019,650,8.5,8.6,8.5,8.1,8.3,7.8,8.6,9.4,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1150,2
Luxury Suites in Murray Hill,10016,17,8.3,8.5,8.2,8,7.8,8.1,10,9,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1.6,2
The Knickerbocker,10036,2319,8.8,9,9.1,8.7,8.8,7.8,9.2,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.9,2
Pod Times Square,10036,3907,8.7,9.1,8.3,8.3,8.9,8.2,8.9,9.4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0.9,2
3 BEDROOM 1 BATHROOM TIMES SQUARE D,10019,29,8.2,7.9,7.8,7.8,8.3,8.3,8.8,9.3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2300,2
Studio Plus - Midtown Spacious Apartment,10001,27,7.4,7.1,7,7.3,7.5,6.8,8.3,8.3,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1.5,0
Excelsior Hotel,10024,1114,8.4,8.7,8.5,8,8.3,7.9,5.4,9.2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1.1,2
Royalton Park Avenue,10016,1119,8.7,9,9,8.7,8.7,7.8,8.8,9,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1.7,2
Embassy Suites By Hilton New York Midtown Manhattan,10018,145,8.4,8.4,8.5,8.2,8.1,7.7,8.2,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2,2
The Bowery Hotel,10003,763,9.1,9.4,9.3,9,9.4,8.1,9.5,9.4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3,2
W New York - Times Square,10036,1748,7.9,8,7.9,7.6,8,6.8,6.2,9.1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.7,2
Best Western Plus Hospitality House Suites,10022,602,8.5,8.6,8.4,8,8.8,8,8.7,9.1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2
Hilton Garden Inn New York/Midtown Park Avenue,10016,2304,8.6,8.9,8.4,8.2,8.7,7.9,8.4,9.1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1.5,2
"NYC Charmer, Central Park/Lincoln Center",10023,5,9.7,9,9.5,9.5,10,10,10,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2600,1
Harlem Grand,10027,24,8.5,9,8.6,7.8,8.7,8.2,7.5,8.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3.1,2
Hamilton Heights Lovely Apartments,10031,46,7.1,7.2,7.3,7,7.6,6.8,8.5,6.6,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,3.7,0
The Skyline Hotel New York,10019,930,8,8.1,8.1,7.6,8.1,7.6,4.1,8.5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.6,2
Baccarat Hotel and Residences New York,10019,272,9.3,9.6,9.5,9.4,9.3,8.2,9.5,9.7,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2950,2
The French Quarters,10036,1682,9.2,9.4,9.1,9,9.5,8.7,9.2,9.6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.7,2
Renaissance New York Midtown Hotel,10001,1412,9,9.3,9.1,8.9,8.9,8.1,9,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2,2
"The Renwick Hotel New York City, Curio Collection by Hilton",10016,928,8.5,8.7,8.7,8.1,8.4,7.8,8.8,9.3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1.3,2
Chelsea Pines Inn,10014,1097,8.4,8.6,7.9,7.8,8.7,8.1,8.6,9.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.2,2
HI NYC Hostel,10025,10889,8.5,8.6,8.1,8.6,8.7,8.2,8.9,8.5,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,2.3,2
CITY ROOMS NYC - Times Square,10036,589,8.7,8.7,8,7.9,9.3,8.4,9.3,9.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.6,2
Belnord Hotel,10024,3252,8,8.6,7.4,7.5,8,7.7,7.6,8.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.5,2
The Redbury New York,10016,3355,8.1,8.4,8,7.8,8.1,7.4,8,8.9,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6,2
Refinery Hotel - New York,10018,764,8.9,9.1,9,8.7,9.2,8,9.1,9.4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.1,2
The Surrey,10021,269,8.6,9,8.9,8.5,8.5,7.5,8.1,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1,2
Millennium Hilton New York Downtown,10007,2651,8.2,8.3,8.3,8,8.1,7.6,5.8,9.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,3.7,2
Pod 51,10022,8007,8,8.5,7.4,7.6,7.9,7.6,8.8,8.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1.1,2
Bryant Park Hotel,10018,1022,9.2,9.6,9.3,8.9,9.4,8.3,9.4,9.8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1.1,2
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,10018,681,8.5,8.7,8.3,8,8.8,7.5,9.1,9.3,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1.2,2
Courtyard by Marriott New York Manhattan/Herald Square,10001,774,8.5,8.8,8.4,8.1,8.8,7.7,9.2,9.5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.3,2
Royalton New York,10036,981,8.1,8.3,8.1,7.6,8.3,7.3,8,9.2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0.8,2
The Westin New York Grand Central,10017,1042,8.1,8.3,8.4,7.9,7.8,7.2,5.2,8.8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1.3,2
TEN15NYC,10018,242,8.2,8.5,7.9,7.8,7.9,7.8,9.1,9.4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1.1,2
Leo House,10011,2384,8.2,8.4,7.5,7.3,8.5,8.5,8.7,9.2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.8,2
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,10019,523,8.6,9,8.5,8.4,9.2,8,9,8.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2450,2
Premium Apartments-Time Square,10018,12,8.6,8.3,8.3,8.8,9,8.3,7.5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2
Stylish 2BR Apartment in UWS,10024,6,8.4,7.9,7.5,8.3,7.9,9,9.6,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.1,1
Hotel Metro,10001,1029,8.5,8.7,8.5,8,8.5,7.8,8,9.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1.3,2
Mandarin Oriental New York,10023,209,8.6,9,8.9,8.5,8.9,7,6.6,9.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,500,2
The Maritime Hotel,10011,615,8.9,9.2,8.8,8.8,9.2,8.2,9,9.4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,2.1,2
The Jane,10014,2622,8,8.1,7,7.6,8.7,7.9,8.2,8.9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,2.5,2
NobleDEN Hotel,10013,900,9,9.6,9.2,8.7,9,8.5,8.8,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3.1,2
Gardens Suites Hotel by Affinia,10065,437,8.4,8.6,8.6,8.1,8.6,7.6,8.1,8.9,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2
Garden House with 2 Bedroom,10019,14,8.3,8,7.9,7.9,9.1,7.3,10,9.7,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2950,2
Four Seasons Hotel New York,10022,88,8.8,9.3,8.8,8.6,9,7.6,9.5,9.3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0.7,2
Nice and Renovated Apartments near Times Square,10018,9,7.5,6.7,7,6.7,7.8,7.5,9.2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.1,1
Hampton Inn Madison Square Garden,10001,1125,8.6,8.8,8.2,8.2,9.1,8,8.5,9.3,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.5,2
AC Hotel by Marriott New York Times Square,10018,27,8.4,8.6,8.3,8.3,8.5,7.5,8.8,9.1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,2
Roger Smith Hotel,10017,596,8.5,8.5,8.4,7.9,8.8,8,8.9,9.3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2
Courtyard by Marriott New York Manhattan/ Fifth Avenue,10016,322,7.9,8.2,7.7,7.3,8,7.1,8.6,9.2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.1,2
Hôtel Plaza Athénée,10065,546,8.6,9,8.6,8.3,9,7.7,8.7,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.7,2
Home In The Heart Of East Village,10009,6,7,6.3,6.7,7.1,8.3,5.8,7.5,7.9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2.9,0
Aloft Harlem,10027,931,8.5,8.8,8.6,8.4,8.9,7.9,8.5,8.2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,3.1,2
PermaGO Seaport,10038,9,7.8,8.3,7.8,7.2,8.1,7,7.5,8.8,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,4.3,2
Broome Street Apartment - Lower East Side #19,10002,14,7.6,8.2,7,7.3,7.7,7.3,7.9,5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,3.1,1
NYLO New York City,10024,1338,8.2,8.4,8.4,8,8.2,7.5,8.1,8.9,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,2
The Plaza,10019,487,8.5,8.8,8.9,8.5,8.4,7.4,6.5,9.3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2600,2
The Kimberly Hotel & Suites,10022,594,9.2,9.4,9.4,9,9.3,8.6,6.2,9.4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,2
The Townhouse Inn of Chelsea,10011,337,8.6,8.7,8.4,8.2,9,8.3,8.2,9.3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1.8,2
Harlem Lofts,10027,13,9.2,10,9.4,9.4,9.2,8.5,8.8,8.7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3.1,2
Hotel Alexander,10025,45,8.1,8,7.7,7.6,8.3,8.4,6.2,8.6,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.9,2
3 West Club,10019,369,8.2,8.5,7.7,7.4,8.6,7.7,8.3,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0.7,2
Beauty Near Times Square,10019,24,8.5,8.8,7.7,7.6,8.7,8.2,9,9.8,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2300,2
The William,10016,715,8.9,9.2,9.1,8.7,9,8.2,9,9.4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2,2
"Hotel Henri New York, A Wyndham Hotel",10010,501,7.6,7.6,7.4,6.9,8,7,8.1,8.7,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1.8,0
WestHouse Hotel New York,10019,704,8.2,8.4,8.4,7.9,8.5,7.1,8.9,9.1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1300,2
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,10001,1103,8.5,8.7,8.5,8.2,8.6,7.9,8.6,9.2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1.3,2
Hotel Elysee by Library Hotel Collection,10022,656,9.1,9.4,9,8.7,9.5,8.6,9.1,9.7,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0.7,2
New York Marriott Downtown,10006,587,8.4,8.7,8.4,8.1,8.5,7.7,6.9,9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,4.3,2
Hotel Mimosa,10002,492,8.3,8.5,8,7.9,9.2,8.1,9.2,8,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,3.7,2
W New York - Union Square,10003,178,8.3,8.6,8.6,8.1,8.2,7.2,5.1,9.1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2.2,2
Athenas Domus CS,10011,31,9.4,9.8,9.5,9.5,9.1,8.9,10,9.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
Hotel Mulberry,10013,717,8.6,9,8.7,8.1,8.9,8.2,8.1,8.6,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,3.7,2
Hotel Giraffe by Library Hotel Collection,10016,455,9.4,9.6,9.5,9.1,9.7,8.8,9.4,9.6,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.8,2
Fitzpatrick Manhattan,10022,543,8.8,9.1,8.8,8.3,9.1,8.2,4.8,9.3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0.9,2
Renaissance New York Times Square Hotel,10036,348,8.2,8.3,8.3,7.8,8.2,7.1,6.3,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0.6,2
The Sherry Netherland,10022,183,9.3,9.5,9.5,9,9.6,8.5,9.4,9.8,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2950,2
Nice Apartment in the Heart of Upper East Side,10028,18,8.5,8.2,8.3,8.3,8.3,8.5,10,9.2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1.8,2
Sago Hotel,10002,204,8.8,9.2,8.9,8.6,9.1,8,9,9,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3.1,2
